"Special Interest Profile, 2021 Census of Population"
"Geography: Surrey (City), British Columbia [Census subdivision]"
"Ethnic or cultural origin (101): Total - Ethnic or cultural origin"
"Age (8): Total - Age"

"Topic","Characteristic","Note","Total - Gender (1)","Total - Gender_Symb","Men+ (2)","Men+_Symb","Women+ (3)","Women+_Symb",
"Visible minority","Total - Visible minority for the population in private households - 25% sample data",102,562560,"",279540,"",283025,"",
"Visible minority","  Total visible minority population",103,377230,"",186925,"",190310,"",
"Visible minority","    South Asian",,212680,"",107685,"",104990,"",
"Visible minority","    Chinese",, 48345,"", 23220,"", 25130,"",
"Visible minority","    Black",, 12875,"",  6535,"",  6340,"",
"Visible minority","    Filipino",, 39290,"", 18135,"", 21155,"",
"Visible minority","    Arab",,  7415,"",  3880,"",  3530,"",
"Visible minority","    Latin American",,  8830,"",  4365,"",  4465,"",
"Visible minority","    Southeast Asian",, 15350,"",  7230,"",  8120,"",
"Visible minority","    West Asian",,  5195,"",  2680,"",  2520,"",
"Visible minority","    Korean",, 10145,"",  4780,"",  5370,"",
"Visible minority","    Japanese",,  2870,"",  1300,"",  1570,"",
"Visible minority","    Visible minority, n.i.e.",104,  4765,"",  2455,"",  2310,"",
"Visible minority","    Multiple visible minorities",,  9475,"",  4660,"",  4810,"",
"Visible minority","  Not a visible minority",105,185330,"", 92615,"", 92715,"",
"Ethnic or cultural origin","Total - Ethnic or cultural origin for the population in private households - 25% sample data",106,562560,"",279540,"",283025,"",
"Ethnic or cultural origin","  Canadian",, 36070,"", 18550,"", 17520,"",
"Ethnic or cultural origin","  English",, 57250,"", 28390,"", 28860,"",
"Ethnic or cultural origin","  Irish",, 34695,"", 16745,"", 17950,"",
"Ethnic or cultural origin","  Scottish",, 42740,"", 20645,"", 22090,"",
"Ethnic or cultural origin","  French, n.o.s.",107, 16940,"",  8180,"",  8760,"",
"Ethnic or cultural origin","  German",, 31580,"", 15460,"", 16120,"",
"Ethnic or cultural origin","  Chinese",, 47265,"", 22625,"", 24645,"",
"Ethnic or cultural origin","  Italian",,  9740,"",  4815,"",  4925,"",
"Ethnic or cultural origin","  Indian (India)",,117770,"", 58980,"", 58785,"",
"Ethnic or cultural origin","  Ukrainian",, 13965,"",  7070,"",  6900,"",
"Ethnic or cultural origin","  Dutch",, 10920,"",  5400,"",  5515,"",
"Ethnic or cultural origin","  Polish",,  9345,"",  4520,"",  4820,"",
"Ethnic or cultural origin","  Québécois",,   300,"",   145,"",   155,"",
"Ethnic or cultural origin","  British Isles, n.o.s.",108, 11335,"",  5675,"",  5665,"",
"Ethnic or cultural origin","  Filipino",, 37580,"", 17445,"", 20140,"",
"Ethnic or cultural origin","  French Canadian",,  2330,"",  1215,"",  1115,"",
"Ethnic or cultural origin","  Caucasian (White), n.o.s.",109,  5575,"",  2970,"",  2605,"",
"Ethnic or cultural origin","  First Nations (North American Indian), n.o.s.",110,  4525,"",  2310,"",  2210,"",
"Ethnic or cultural origin","  Métis",,  4720,"",  2320,"",  2395,"",
"Ethnic or cultural origin","  European, n.o.s.",111,  6135,"",  3045,"",  3085,"",
"Ethnic or cultural origin","  Russian",,  6970,"",  3350,"",  3615,"",
"Ethnic or cultural origin","  Norwegian",,  8100,"",  3975,"",  4130,"",
"Ethnic or cultural origin","  Welsh",,  5785,"",  2825,"",  2960,"",
"Ethnic or cultural origin","  Portuguese",,  3630,"",  1760,"",  1865,"",
"Ethnic or cultural origin","  American",,  3810,"",  1915,"",  1890,"",
"Ethnic or cultural origin","  Spanish",,  6070,"",  2770,"",  3305,"",
"Ethnic or cultural origin","  Swedish",,  5695,"",  2560,"",  3135,"",
"Ethnic or cultural origin","  Hungarian",,  3510,"",  1675,"",  1840,"",
"Ethnic or cultural origin","  Acadian",,   310,"",   155,"",   150,"",
"Ethnic or cultural origin","  Pakistani",,  8010,"",  4015,"",  3995,"",
"Ethnic or cultural origin","  African, n.o.s.",112,  2885,"",  1390,"",  1495,"",
"Ethnic or cultural origin","  Jewish",,  1310,"",   650,"",   655,"",
"Ethnic or cultural origin","  Punjabi",, 49065,"", 25020,"", 24045,"",
"Ethnic or cultural origin","  Vietnamese",, 10655,"",  4930,"",  5720,"",
"Ethnic or cultural origin","  Arab, n.o.s.",113,  3050,"",  1620,"",  1430,"",
"Ethnic or cultural origin","  Greek",,  1670,"",   870,"",   795,"",
"Ethnic or cultural origin","  Jamaican",,  1505,"",   725,"",   785,"",
"Ethnic or cultural origin","  Asian, n.o.s.",114,  7145,"",  3395,"",  3755,"",
"Ethnic or cultural origin","  Cree, n.o.s.",115,  1165,"",   520,"",   650,"",
"Ethnic or cultural origin","  Korean",,  9895,"",  4665,"",  5230,"",
"Ethnic or cultural origin","  Romanian",,  2050,"",  1000,"",  1050,"",
"Ethnic or cultural origin","  Lebanese",,   985,"",   510,"",   480,"",
"Ethnic or cultural origin","  Iranian",,  1180,"",   625,"",   555,"",
"Ethnic or cultural origin","  Christian, n.i.e.",116,  2060,"",  1020,"",  1040,"",
"Ethnic or cultural origin","  Danish",,  2970,"",  1540,"",  1430,"",
"Ethnic or cultural origin","  North American Indigenous, n.o.s.",117,  1120,"",   525,"",   600,"",
"Ethnic or cultural origin","  Sikh",, 36765,"", 18845,"", 17925,"",
"Ethnic or cultural origin","  Austrian",,  2635,"",  1205,"",  1435,"",
"Ethnic or cultural origin","  Belgian",,   900,"",   445,"",   455,"",
"Ethnic or cultural origin","  Haitian",,   155,"",    65,"",    85,"",
"Ethnic or cultural origin","  Hindu",,  7905,"",  4030,"",  3875,"",
"Ethnic or cultural origin","  Mexican",,  2385,"",  1200,"",  1185,"",
"Ethnic or cultural origin","  Mennonite",,  1190,"",   635,"",   555,"",
"Ethnic or cultural origin","  Swiss",,  1210,"",   555,"",   655,"",
"Ethnic or cultural origin","  Finnish",,  1730,"",   880,"",   850,"",
"Ethnic or cultural origin","  Sri Lankan",,  1520,"",   790,"",   735,"",
"Ethnic or cultural origin","  Croatian",,  1860,"",   920,"",   940,"",
"Ethnic or cultural origin","  Japanese",,  3925,"",  1825,"",  2095,"",
"Ethnic or cultural origin","  South Asian, n.o.s.",118,  7785,"",  3915,"",  3870,"",
"Ethnic or cultural origin","  Mi'kmaq, n.o.s.",119,   195,"",    90,"",   105,"",
"Ethnic or cultural origin","  Northern European, n.o.s.",120,  1700,"",   900,"",   795,"",
"Ethnic or cultural origin","  Muslim",,  2655,"",  1310,"",  1350,"",
"Ethnic or cultural origin","  Egyptian",,   725,"",   375,"",   350,"",
"Ethnic or cultural origin","  Latin, Central or South American, n.o.s.",121,  1710,"",   835,"",   875,"",
"Ethnic or cultural origin","  Tamil",,   795,"",   420,"",   375,"",
"Ethnic or cultural origin","  Icelandic",,  1760,"",   840,"",   920,"",
"Ethnic or cultural origin","  Colombian",,  1170,"",   550,"",   625,"",
"Ethnic or cultural origin","  Moroccan",,   135,"",    50,"",    85,"",
"Ethnic or cultural origin","  Czech",,  1260,"",   655,"",   605,"",
"Ethnic or cultural origin","  Syrian",,  1325,"",   720,"",   600,"",
"Ethnic or cultural origin","  Guyanese",,   305,"",   155,"",   145,"",
"Ethnic or cultural origin","  Afghan",,  3085,"",  1525,"",  1560,"",
"Ethnic or cultural origin","  Black, n.o.s.",122,   725,"",   325,"",   405,"",
"Ethnic or cultural origin","  Serbian",,   865,"",   455,"",   410,"",
"Ethnic or cultural origin","  Ojibway",,   240,"",   140,"",   100,"",
"Ethnic or cultural origin","  Newfoundlander",,   195,"",    85,"",   110,"",
"Ethnic or cultural origin","  Hong Konger",,  1185,"",   585,"",   605,"",
"Ethnic or cultural origin","  Ontarian",,   165,"",    75,"",    85,"",
"Ethnic or cultural origin","  Persian",,   895,"",   490,"",   405,"",
"Ethnic or cultural origin","  Trinidadian/Tobagonian",,   495,"",   285,"",   210,"",
"Ethnic or cultural origin","  Turkish",,   615,"",   340,"",   280,"",
"Ethnic or cultural origin","  Inuit, n.o.s.",123,   120,"",    50,"",    70,"",
"Ethnic or cultural origin","  Bangladeshi",,   915,"",   475,"",   440,"",
"Ethnic or cultural origin","  Algerian",,    75,"",    40,"",    35,"",
"Ethnic or cultural origin","  Brazilian",,   805,"",   380,"",   420,"",
"Ethnic or cultural origin","  Nigerian",,   895,"",   480,"",   415,"",
"Ethnic or cultural origin","  Armenian",,   350,"",   205,"",   145,"",
"Ethnic or cultural origin","  Slovak",,   665,"",   330,"",   330,"",
"Ethnic or cultural origin","  Eastern European, n.o.s.",124,   710,"",   315,"",   395,"",
"Ethnic or cultural origin","  Somali",,  1265,"",   650,"",   615,"",
