"Topic","Characteristic","Note","Total - Gender (1)","Total - Gender_Symb","Men+ (2)","Men+_Symb","Women+ (3)","Women+_Symb",
"Visible minority","Total - Visible minority for the population in private households - 25% sample data",102,208395,"", 99760,"",108635,"",
"Visible minority","  Total visible minority population",103,167395,"", 78965,"", 88425,"",
"Visible minority","    South Asian",, 15365,"",  7615,"",  7750,"",
"Visible minority","    Chinese",,113060,"", 52840,"", 60220,"",
"Visible minority","    Black",,  1775,"",   925,"",   855,"",
"Visible minority","    Filipino",, 15130,"",  7015,"",  8110,"",
"Visible minority","    Arab",,  2200,"",  1140,"",  1065,"",
"Visible minority","    Latin American",,  2155,"",  1070,"",  1085,"",
"Visible minority","    Southeast Asian",,  3310,"",  1575,"",  1730,"",
"Visible minority","    West Asian",,  1675,"",   830,"",   845,"",
"Visible minority","    Korean",,  2035,"",   905,"",  1135,"",
"Visible minority","    Japanese",,  3885,"",  1725,"",  2160,"",
"Visible minority","    Visible minority, n.i.e.",104,   710,"",   320,"",   385,"",
"Visible minority","    Multiple visible minorities",,  6090,"",  3015,"",  3080,"",
"Visible minority","  Not a visible minority",105, 41005,"", 20795,"", 20210,"",
"Ethnic or cultural origin","Total - Ethnic or cultural origin for the population in private households - 25% sample data",106,208395,"", 99760,"",108635,"",
"Ethnic or cultural origin","  Canadian",,  8280,"",  4470,"",  3805,"",
"Ethnic or cultural origin","  English",, 12185,"",  6220,"",  5960,"",
"Ethnic or cultural origin","  Irish",,  7715,"",  3660,"",  4055,"",
"Ethnic or cultural origin","  Scottish",,  9755,"",  4860,"",  4895,"",
"Ethnic or cultural origin","  French, n.o.s.",107,  3210,"",  1585,"",  1630,"",
"Ethnic or cultural origin","  German",,  6310,"",  3130,"",  3175,"",
"Ethnic or cultural origin","  Chinese",, 99780,"", 46615,"", 53165,"",
"Ethnic or cultural origin","  Italian",,  2135,"",  1130,"",  1005,"",
"Ethnic or cultural origin","  Indian (India)",,  9330,"",  4655,"",  4680,"",
"Ethnic or cultural origin","  Ukrainian",,  3195,"",  1400,"",  1790,"",
"Ethnic or cultural origin","  Dutch",,  1805,"",   885,"",   920,"",
"Ethnic or cultural origin","  Polish",,  2030,"",   955,"",  1070,"",
"Ethnic or cultural origin","  Québécois",,   105,"",    70,"",    40,"",
"Ethnic or cultural origin","  British Isles, n.o.s.",108,  2900,"",  1550,"",  1350,"",
"Ethnic or cultural origin","  Filipino",, 15905,"",  7475,"",  8430,"",
"Ethnic or cultural origin","  French Canadian",,   580,"",   310,"",   275,"",
"Ethnic or cultural origin","  Caucasian (White), n.o.s.",109,  1215,"",   630,"",   580,"",
"Ethnic or cultural origin","  First Nations (North American Indian), n.o.s.",110,   650,"",   310,"",   335,"",
"Ethnic or cultural origin","  Métis",,   445,"",   210,"",   235,"",
"Ethnic or cultural origin","  European, n.o.s.",111,  1480,"",   760,"",   720,"",
"Ethnic or cultural origin","  Russian",,  3050,"",  1445,"",  1600,"",
